snapshot_id,snapshot_date,repo,plugin_xml,rule_class
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.groupby.DBGroupByNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.pivot.DBPivotNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.parameterizedquery.ParameterizedDBSQLQueryNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.joiner.DBJoinNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.sampling.sampling.DBSampleNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.connector.tablewriter.DBConnectionTableWriterNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.insert2.DBInsert2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.merge2.DBMerge2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.update2.DBUpdate2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.reader.DBReadNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.write.DBWriteNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.write2.DBWrite2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.delete.DBDeleteNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.delete2.DBDelete2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.update.DBUpdateNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.filter.column.DBFilterColumnNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.filter.row.DBFilterRowNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.executor.DBExecutorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.query.DBSQLQueryNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.generic.node.connector.GenericDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.h2.node.connector.H2DBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.mssql.node.connector.MSSQLDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.mysql.node.connector.MySQLDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.postgres.node.connector.PostgreSQLDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.sqlite.node.connector.SQLiteDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions.oracle/plugin.xml,org.knime.database.extension.oracle.node.connector.OracleDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.extensions.vertica/plugin.xml,org.knime.database.extension.vertica.node.connector.VerticaDBConnectorNodeMigrationRule
