id,doi,display_name,publication_year,publication_date,type,type_crossref,cited_by_count,is_oa,open_access_status,primary_location_source,primary_location_landing_page_url,primary_location_pdf_url,authorships_count,first_author
https://openalex.org/W2509976270,,Prediction of Thyroid Disease Using Data Mining Techniques,2016,2016-08-01,article,,47,True,green,DOAJ (DOAJ: Directory of Open Access Journals),https://doaj.org/article/a2661bf3d0a84e309bc852e781203949,,2,Irina Ioniță
https://openalex.org/W2901568326,https://doi.org/10.1371/journal.pone.0208626,"Identifying disease genes using machine learning and gene functional similarities, assessed through Gene Ontology",2018,2018-12-10,article,,90,True,gold,PLoS ONE,https://doi.org/10.1371/journal.pone.0208626,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0208626&type=printable,4,Muhammad Asif
https://openalex.org/W3019692265,https://doi.org/10.1080/09537104.2020.1748588,An adaptable analysis workflow for characterization of platelet spreading and morphology,2020,2020-04-23,article,,26,True,hybrid,Platelets,https://doi.org/10.1080/09537104.2020.1748588,https://www.tandfonline.com/doi/pdf/10.1080/09537104.2020.1748588?needAccess=true,8,Jeremy A. Pike
https://openalex.org/W2338423545,https://doi.org/10.1021/acs.chemrestox.5b00480,Using Molecular Initiating Events to Develop a Structural Alert Based Screening Workflow for Nuclear Receptor Ligands Associated with Hepatic Steatosis,2016,2016-01-20,article,,57,True,green,Chemical Research in Toxicology,https://doi.org/10.1021/acs.chemrestox.5b00480,,3,Claire L. Mellor
https://openalex.org/W2335278241,https://doi.org/10.1016/j.toxlet.2013.05.084,In silico workflows for toxicity prediction implemented into KNIME,2013,2013-08-01,article,,0,False,closed,Toxicology Letters,https://doi.org/10.1016/j.toxlet.2013.05.084,,11,Andrea-Nicole Richarz
https://openalex.org/W2949728911,,Comparision of Outlier Detection Techniquesusing KNIME Analytics Platform,2019,2019-04-03,article,,0,False,closed,,https://www.ijert.org/research/comparision-of-outlier-detection-techniques-using-knime-analytics-platform-IJERTV8IS030231.pdf,,3,Ayush Jindal
https://openalex.org/W4311917005,https://doi.org/10.1177/14673584221145819,Hotel service quality dimensions and attributes: An analysis of online hotel customer reviews,2022,2022-12-08,article,,40,False,closed,Tourism and Hospitality Research,https://doi.org/10.1177/14673584221145819,,2,Kanapot Kalnaovakul
https://openalex.org/W3215738196,https://doi.org/10.5281/zenodo.3540726,deep-projects/knime-labelfree-quantification-experiments: 0.2,2019,2019-11-13,article,,0,True,green,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.3540726,,2,Christoph Jansen
https://openalex.org/W3212294662,https://doi.org/10.18844/wjet.v13i4.6233,Dashboard proposal implemented according to an analysis developed in the KNIME platform,2021,2021-10-31,article,,0,True,diamond,World Journal on Educational Technology Current Issues,https://doi.org/10.18844/wjet.v13i4.6233,,4,Benjamín Maraza-Quispe
https://openalex.org/W2884970730,https://doi.org/10.3390/info9070176,A Study of a Health Resources Management Platform Integrating Neural Networks and DSS Telemedicine for Homecare Assistance,2018,2018-07-19,article,,48,True,gold,Information,https://doi.org/10.3390/info9070176,https://www.mdpi.com/2078-2489/9/7/176/pdf?version=1532416827,7,Alessandro Massaro
https://openalex.org/W7127130230,https://doi.org/10.1186/s13321-026-01156-y,SPARFlow: a KNIME workflow for integrated structure–activity or structure–property relationship analysis,2026,2026-02-02,article,,0,True,gold,Journal of Cheminformatics,https://doi.org/10.1186/s13321-026-01156-y,,3,Elier E. Abreu-Martínez
https://openalex.org/W3064554225,https://doi.org/10.1016/j.cmpb.2020.105712,Classifying the type of delivery from cardiotocographic signals: A machine learning approach,2020,2020-08-18,article,,70,False,closed,Computer Methods and Programs in Biomedicine,https://doi.org/10.1016/j.cmpb.2020.105712,,5,Carlo Ricciardi
https://openalex.org/W2753219695,,KNIME‐CDK:ワークフロー駆動のケモインフォマティクス,2013,2013-01-01,article,,0,False,closed,,https://jglobal.jst.go.jp/detail?JGLOBAL_ID=201302293748388623,,5,Beisken Stephan
https://openalex.org/W2288366709,https://doi.org/10.1186/s13321-016-0121-y,Selectivity profiling of BCRP versus P-gp inhibition: from automated collection of polypharmacology data to multi-label learning,2016,2016-02-04,article,,32,True,gold,Journal of Cheminformatics,https://doi.org/10.1186/s13321-016-0121-y,https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-016-0121-y,4,Floriane Montanari
https://openalex.org/W2903768033,https://doi.org/10.23919/aeit.2018.8577362,Neural Networks for Automated Smart Health Platforms oriented on Heart Predictive Diagnostic Big Data Systems,2018,2018-10-01,article,,29,False,closed,,https://doi.org/10.23919/aeit.2018.8577362,,4,Alessandro Massaro
https://openalex.org/W7112639173,,Machine learning for marketing on the KNIME Hub: The development of a live repository for marketing applications,,,article,,0,False,closed,RePEc: Research Papers in Economics,http://www.sciencedirect.com/science/article/pii/S014829632100597X,,2,"Villarroel Ordenes, Francisco"
https://openalex.org/W3184600060,,Vývoj komponent pro zpracování a vizualizaci proteomických dat v prostředí KNIME,2020,2020-06-23,article,,0,True,green,Brno University of Technology Digital Library (Brno University of Technology),http://hdl.handle.net/11012/190319,http://hdl.handle.net/11012/190319,1,Anna Schneiderová
https://openalex.org/W3183672251,,KNIME 분석 플랫폼 기반 스마트 미터 빅 데이터 클러스터링,2020,2020-04-01,article,,0,False,closed,한국인터넷방송통신학회 논문지,https://www.earticle.net/Article/A374188,,2,김용길
https://openalex.org/W2141684093,https://doi.org/10.4155/fmc.12.152,Computational Tools And Resources For Metabolism-Related Property Predictions. 2. Application To Prediction Of Half-Life Time In Human Liver Microsomes,2012,2012-10-01,article,,37,True,green,Future Medicinal Chemistry,https://doi.org/10.4155/fmc.12.152,,8,Alexey Zakharov
https://openalex.org/W1977863230,https://doi.org/10.1002/pmic.201400391,Workflows for automated downstream data analysis and visualization in large‐scale computational mass spectrometry,2015,2015-01-20,article,,35,True,bronze,PROTEOMICS,https://doi.org/10.1002/pmic.201400391,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pmic.201400391,12,Stephan Aiche
https://openalex.org/W3210400750,https://doi.org/10.5281/zenodo.1401196,KNIME workflow to calculate Tanimoto similarities based upon molecular fingerprints,2018,2018-08-21,article,,0,True,green,Zenodo (CERN European Organization for Nuclear Research),https://zenodo.org/record/1401196,,1,Claire L. Mellor
https://openalex.org/W2505685449,https://doi.org/10.20853/30-2-583,Applying predictive analytics in identifying students at risk: A case study,2016,2016-06-01,article,,30,True,gold,South African Journal of Higher Education,https://doi.org/10.20853/30-2-583,https://www.journals.ac.za/index.php/sajhe/article/download/583/213,2,Amanda Lourens
